Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Зінчук,Максим,Віталійович,Чоловік,04.12.1961,Агроном,місто Першотравенськ,"провулок Траса Здоров'я, буд. 026, Ромни, 67757",001-57-98,leontiiishchenko@example.net
Андрусенко,Болеслав,Зеновійович,Чоловік,02.12.1969,Краєзнавець,хутір Бібрка,"площа Олександра Невського 2-й, буд. 14 кв. 87, Старий Крим, 13368",048 658-32-16,omelian44@example.org
Коваленко,Данило,Олегович,Чоловік,04.12.1963,Програміст,хутір Оріхів,"узвіз Бузкова, буд. 9, Хмельницький, 07615",550 62 65,leontii70@example.org
Баранник,Олена,Тарасівна,Жінка,04.12.1961,Психолог,село Чигирин,"шосе Лінія 41-ша, буд. 726, Луганськ, 78792",075 416-87-18,ypiddubnyi@example.com
Юрчук,Тетяна,Василівна,Жінка,28.11.1986,Дерун,хутір Борщів,"площа Художника Федорова, буд. 4, Щолкіне, 54069",037 464 30 11,panteleimon72@example.com
Копитко,Алла,Віталіївна,Жінка,29.11.1983,Складальник,село Сніжне,"парк Лінія 48-ма, буд. 78 кв. 113, Боково-Хрустальне, 61673",088 698-38-96,oalekseienko@example.net
Юхименко,Анжела,Артемівна,Жінка,03.12.1966,Психолог,село Ходорів,"парк Павла Кравцова, буд. 51, Красноград, 08693",+380 49 156-73-09,symon64@example.net
Кириленко,Марта,Степанівна,Жінка,05.12.1956,Золотар,селище Токмак,"парк Юннатів 1-й, буд. 6, Тернопіль, 79749",012 729-30-98,martyniashchenko@example.net
Асаула,Людмила,Максимівна,Жінка,29.11.1983,Головний меркшейдер,місто Остер ,"набережна Кільцева, буд. 121, Гірське, 12052",+380 (49) 539-24-74,jvovk@example.com
Абрагамовський,Варфоломій,Максимович,Чоловік,06.12.1955,Клоун,місто Карлівка,"набережна Скворцова, буд. 715, Вишневе , 79323",+380 74 923-86-21,opanashohol-ianovskyi@example.net
Барабаш,Олена,Максимівна,Жінка,05.12.1957,Письменник,хутір Гірське,"парк Абрикосовий, буд. 6, Косів, 04657",+380 76 845-59-45,ihoronyshchenko@example.com
Дробаха,Єлисавета,Григоріївна,Жінка,30.11.1976,Кінокритик,місто Кролевець,"площа Тепла, буд. 407 кв. 51, Молодогвардійськ, 82395",+380 63 112 83 72,leopold26@example.org
Швачко,Володимира,Ігорівна,Жінка,02.12.1969,Ріелтор,місто Білогірськ,"парк Металістів, буд. 02 кв. 2, Красноград, 66979",158-16-88,czhurba@example.com
Хомик,Олесь,Анатолійович,Чоловік,27.11.1991,Зоолог,місто Калуш,"парк Київське, буд. 94 кв. 57, Чистякове, 17694",+380 85 498-09-33,arkadiivashchenko-zakharchenko@example.net
Дрозд,Орися,Артемівна,Жінка,05.12.1959,Геолог,хутір Глухів,"набережна Миколи Гефта, буд. 77 кв. 77, Чистякове, 53752",049 746 97 21,wnehoda@example.net
Канівець,Аарон,Віталійович,Чоловік,02.12.1970,Патологоанатом,хутір Армянськ,"шосе Астрономічний, буд. 345 кв. 524, Дніпрорудне, 91363",016 800-45-85,jsaienko@example.org
Дрозд,Ірина,Григоріївна,Жінка,02.12.1970,Підприємець,село Корсунь-Шевченківський,"провулок Жаботинського, буд. 9, Покров, 07880",+380 21 458-82-51,valenkopavlo@example.net
Байдак,Орися,Ігорівна,Жінка,25.11.1997,Реставратор,село Рогатин,"площа Іспанська, буд. 203, Алупка, 85495",+380 33 988-99-04,nazar63@example.com
Бабиченко,Кирило,Васильович,Чоловік,27.11.1988,Парфюмер,село Армянськ,"набережна Ангарська, буд. 75 кв. 613, Бар, 90620",+380 42 001 18 89,olesvasylenko@example.net
Шаблій,Вʼячеслав,Зеновійович,Чоловік,29.11.1981,Реабілітолог,місто Лебедин,"шосе Кредитний, буд. 7 кв. 482, Васильків, 60126",+380 (02) 431-69-37,rubanbohuslav@example.net
